credit_note_number,vendor_id,original_invoice_number,invoice_link_flag,credit_note_date,credit_note_amount,currency,status,reason_code,vat_amount
CRN/2025/00514,1000087316,No Invoice Reference,Unlinked CN- Review,14-05-2025,149516,GBP,Partially Applied,VAT Correction,29903.25
SSE-CN-00501,1000033983,P001063-2024,Linked,24-04-2024,98406,EUR,Partially Applied,VAT Correction,18697.29
CWG-CN-00508,1000081143,CWG00001011,Linked,04-10-2024,85220,GBP,Pending Application,VAT Correction,17044.16
CRN/2024/00513,2000093507,P001051-2023,Linked,01-11-2024,171538,GBP,Open,VAT Correction,34307.63
CN2023000503,1000068330,BBH-2024-01042,Linked,14-08-2023,91676,GBP,Pending Application,VAT Correction,18335.2
CN2024000512,2000040186,INV2024001018,Linked,03-07-2024,270749,USD,Open,VAT Correction,0
SDG-CN-00508,1000062828,2023/59276,Linked,29-05-2024,106824.69,GBP,Applied,Short Delivery,21364.94
CRN/2023/00505,1000074246,BSS-2024-01012,Linked,31-08-2023,111061,GBP,Applied,Short Delivery,22212.33
CRN/2025/00506,1000056979,INV2023001027,Linked,13-05-2025,230296,GBP,Applied,Short Delivery,46059.2
CN-SFT-2024-0504,1000024940,P001006-2024,Linked,23-05-2024,63577,GBP,Applied,Short Delivery,12715.49
CN-TTN-2025-0510,1000085764,INV2024001026,Linked,28-04-2025,142808,GBP,Applied,Short Delivery,28561.68
CN-PHX-2024-0511,1000078188,P001004-2024,Linked,16-11-2024,11120,EUR,Applied,Short Delivery,2112.96
CRN/2023/00510,1000053134,INV2023001136,Linked,12-09-2023,140863,EUR,Pending Application,Short Delivery,26764.1
CN2024000510,2000067442,SI-0001092,Linked,24-03-2024,78530,USD,Applied,Short Delivery,0
HYD-CN-00502,1000066816,SI-0001024,Linked,11-01-2024,39735,GBP,Applied,Short Delivery,7947.09
CMT-CN-00506,2000093507,CMT00001067,Linked,25-11-2024,37351,USD,Open,Service Not Rendered,0
CIR-CN-00519,2000040186,P001015-2023,Linked,10-10-2023,27909,USD,Pending Application,Service Not Rendered,0
CN2023000513,1000053134,GWI/2024/1038,Linked,08-11-2023,167192,GBP,Pending Application,Service Not Rendered,33438.55
