invoice_number,vendor_id,po_number,invoice_date,vat_amount,due_date,invoice_amount,outliers,currency,status,invoice_type,department
REN-2023-01004,1000043125,4539496569,26-03-2023,70240.4,25-05-2023,351202,Normal,GBP,Part Paid,Capital Expenditure,HR & Admin
CMT00001006,2000093507,4561573152,09-09-2024,0,24-09-2024,404988,Normal,USD,Paid,Subscription,R&D
2024/53439,1000053134,4577178167,13-02-2025,192703.2,15-03-2025,963516,Normal,GBP,Paid,Capital Expenditure,Procurement
TML00001011,1000096466,4551352278,22-12-2024,21739.6,05-02-2025,108698,Normal,GBP,Overdue,Utilities,Smart Infrastructure
P001015-2023,1000035815,No PO,29-06-2024,22647,28-08-2024,113235,Normal,GBP,Overdue,Professional Services,Finance
INV2023001015,1000053134,4577178167,13-02-2025,33359.4,15-03-2025,166797,Normal,GBP,Paid,Software Licence,Procurement
MSL-2024-01015,2000025351,4512308244,11-09-2023,0,11-10-2023,1674365,Normal,USD,Processing,Software Licence,Automation
2024-PLF-1028,1000035815,4581953019,18-10-2024,92827.4,17-12-2024,464137,Normal,GBP,Cancelled,Software Licence,R&D
P001032-2023,1000035815,4543970581,23-10-2023,95982.8,22-12-2023,479914,Normal,GBP,Pending,Consultancy,R&D
P001006-2023,1000031235,4524565475,09-03-2023,95440.2,24-03-2023,477201,Normal,GBP,Hold,Consultancy,Quality Assurance
P001009-2023,1000087316,4523034714,03-04-2024,23837.2,02-07-2024,119186,Normal,GBP,Cancelled,Tooling,Smart Infrastructure
P001004-2024,1000078188,4515400671,30-10-2024,2995.16,29-11-2024,15764,Normal,EUR,Paid,Spares & Components,Healthcare
IUK00001017,1000087316,4563816918,17-07-2024,68272.8,15-10-2024,341364,Normal,GBP,Paid,Utilities,Automation
DAL-2024-01013,1000064520,4573772263,27-07-2023,7905.8,26-08-2023,39529,Normal,GBP,Paid,Capital Expenditure,Digital Industries
ENH-2023-01011,1000060552,4598236168,07-03-2025,49241.73,06-04-2025,259167,Normal,EUR,Paid,Spares & Components,Healthcare
SI-0001013,2000083288,4557822552,19-11-2024,0,19-12-2024,399838,Normal,USD,Paid,Software Licence,IT Operations
2024/55280,1000035815,4510446073,26-10-2023,89320,25-12-2023,446600,Normal,GBP,On Hold,Software Licence,Smart Infrastructure
CHX00001013,2000043692,4541084002,31-07-2023,0,15-08-2023,378757,Normal,USD,In Review,Subscription,Digital Industries
PLF/2024/1046,1000035815,4511449694,04-12-2023,89332.8,02-02-2024,446664,Normal,GBP,Pending,Preventive Maintenance,Smart Infrastructure
APT/2024/1008,2000071726,4523591749,18-04-2023,0,02-06-2023,372943,Normal,USD,Paid,Tooling,Smart Infrastructure
ULC/2024/1010,2000067442,4571755797,02-09-2023,0,02-10-2023,382012,Normal,USD,Pending,Industrial Equipment,Automation
SSE-2024-01012,1000033983,4527850612,06-04-2024,67753.8,07-05-2024,338769,Normal,GBP,Paid,Industrial Equipment,Quality Assurance
2023-CIV-1002,1000096033,4531940315,05-12-2024,81658.4,03-02-2025,408292,Normal,GBP,Overdue,Freight & Logistics,HR & Admin
2023/40485,1000056979,4566987415,27-11-2024,23709.6,25-02-2025,118548,Normal,GBP,Pending,Preventive Maintenance,Technical Services
MOG/2023/1009,2000051280,4578042382,09-02-2024,60796.2,04-09-2024,319980,Normal,EUR,Paid,Annual Maintenance Contract,Automation
2023-ULC-1017,2000067442,4533105548,08-05-2024,0,07-06-2024,209815,Normal,USD,Paid,Professional Services,Digital Industries
2023-KON-1006,1000031867,4538474205,14-07-2024,26507.28,12-09-2024,139512,Normal,EUR,Paid,Professional Services,Finance
N4L00001002,1000029627,4591226383,10-08-2024,18702.8,25-08-2024,93514,Normal,GBP,Processing,Preventive Maintenance,Healthcare
2023-KON-1015,1000031867,4578806340,16-05-2023,41856.43,15-07-2023,220297,Normal,EUR,Processing,Utilities,Healthcare
GWI-2023-01024,1000053134,4580118649,02-06-2023,43280.8,02-07-2023,216404,Normal,GBP,Paid,Preventive Maintenance,Quality Assurance
INV2024001054,1000035815,4510446073,22-09-2023,89236.4,22-10-2023,446182,Normal,GBP,Hold,Capital Expenditure,Digital Industries
BBH00001011,1000068330,4588484525,23-06-2023,66280,08-07-2023,331400,Normal,GBP,Cancelled,Professional Services,R&D
2024-SPE-1015,1000082868,4556037062,28-02-2024,28421,13-04-2024,142105,Normal,GBP,Paid,Freight & Logistics,Healthcare
REN-2024-01011,1000043125,4511907184,22-01-2024,21382.2,22-03-2024,106911,Normal,GBP,Disputed,Preventive Maintenance,Healthcare
PMS00001001,1000021602,4515101477,03-04-2025,3233.8,18-04-2025,17020,Normal,EUR,On Hold,Spares & Components,Automation
2023-CIV-1010,1000096033,4531940315,12-12-2024,82175.4,10-02-2025,410877,Normal,GBP,Paid,Industrial Equipment,R&D
INV2024001022,1000096466,4551352278,21-11-2024,20600.2,05-01-2025,103001,Normal,GBP,In Review,Freight & Logistics,Digital Industries
P001028-2024,1000078188,4578426503,18-10-2023,55301.78,17-11-2023,291062,Normal,EUR,Processing,Spares & Components,Energy Management
2023-KNX-1003,1000011404,4596260793,13-05-2023,10676,12-06-2023,53380,Normal,GBP,In Review,Consultancy,Digital Industries
TML-2023-01030,1000096466,4511424393,04-11-2023,79701.2,19-12-2023,398506,Normal,GBP,Pending,Annual Maintenance Contract,Healthcare
TTN/2023/1001,1000085764,No PO,09-04-2025,41668.2,08-06-2025,208341,Normal,GBP,Pending,Annual Maintenance Contract,Smart Infrastructure
2023/50745,1000099061,4570244441,17-05-2024,66362.2,16-07-2024,331811,Normal,GBP,Pending,Industrial Equipment,HR & Admin
P001014-2024,1000029627,4511966146,07-04-2024,93220.6,22-04-2024,466103,Normal,GBP,Hold,Capital Expenditure,Procurement
CHX/2023/1017,2000043692,4595771152,28-01-2024,0,12-02-2024,2945159,Review Required,USD,Cancelled,Subscription,Automation
ENH/2023/1016,1000060552,No PO,25-12-2024,25520.42,24-01-2025,134318,Normal,EUR,Paid,Professional Services,Healthcare
2023-ASC-1012,1000095845,4575992324,19-09-2024,82938.2,19-10-2024,414691,Normal,GBP,Paid,Annual Maintenance Contract,IT Operations
PLF/2023/1057,1000035815,4552800125,26-12-2023,30629.8,24-02-2024,153149,Normal,GBP,Paid,Consultancy,HR & Admin
P001001-2024,2000040186,4549863203,25-11-2023,0,09-01-2024,431886,Normal,USD,Cancelled,Professional Services,Automation
ENH-2024-01027,1000060552,4586103838,26-01-2024,95152,25-02-2024,500800,Normal,EUR,On Hold,Software Licence,Quality Assurance
SI-0001014,2000033981,4593141359,25-12-2024,0,08-02-2025,99367,Normal,USD,Paid,Freight & Logistics,Procurement
CIV00001011,1000096033,4531940315,24-11-2024,79809,23-01-2025,399045,Normal,GBP,Pending,Utilities,Finance
2023/44980,1000029627,4554863973,09-08-2024,6652.2,24-08-2024,33261,Normal,GBP,Overdue,Tooling,Quality Assurance
SI-0001025,1000064520,4586177641,05-02-2024,23295.4,06-03-2024,116477,Normal,GBP,On Hold,Utilities,Quality Assurance
INV2024001012,1000069628,4588890772,14-10-2024,65426,12-01-2025,327130,Normal,GBP,Paid,Consultancy,Technical Services
2024/94356,1000060552,4518175495,15-06-2024,93124.32,15-07-2024,490128,Normal,EUR,On Hold,Professional Services,IT Operations
GWI/2024/1038,1000053134,4518907521,19-10-2023,50506.4,18-11-2023,252532,Normal,GBP,Paid,Freight & Logistics,HR & Admin
P001012-2024,1000022345,4551818673,29-12-2024,56098.2,13-01-2025,280491,Normal,GBP,Hold,Capital Expenditure,Finance
PFM-2023-01025,1000014278,4526960158,13-10-2024,60847.4,11-01-2025,304237,Normal,GBP,In Review,Software Licence,Procurement
P001004-2023,1000021602,4515101477,03-04-2025,3447.36,18-04-2025,18144,Normal,EUR,Hold,Industrial Equipment,Energy Management
SPE00001025,1000082868,4594528547,26-07-2023,10214.4,09-09-2023,51072,Normal,GBP,Disputed,Preventive Maintenance,Smart Infrastructure
N4L/2023/1041,1000029627,4517053378,01-08-2023,88803,16-08-2023,444015,Normal,GBP,Processing,Professional Services,Energy Management
SI-0001052,1000053134,4566824735,14-05-2024,73990.8,13-06-2024,369954,Normal,GBP,Cancelled,Consultancy,IT Operations
INV2023001028,2000025351,4583208610,05-03-2023,0,04-04-2023,98088,Normal,USD,Paid,Consultancy,Smart Infrastructure
CIV-2024-01013,1000096033,4549702930,10-08-2024,14781.2,09-10-2024,73906,Normal,GBP,Overdue,Freight & Logistics,Healthcare
2024/33963,1000082868,4537068753,22-03-2024,68442.4,06-05-2024,342212,Normal,GBP,Pending,Utilities,Energy Management
