payment_reference,invoice_number,payment_flag,payment_date,payment_date_flag,payment_amount,currency,payment_method,payment_status,bank_reference
PAY-2023-001001,PLF/2023/1057,Normal,01-01-2024,Ok,153149,GBP,International Wire,Cleared,GH608552166
PAY-2024-001002,KAI-2024-01025,Normal,02-08-2024,Ok,423398,GBP,ACH,Failed,ID925131801
PAY-2024-001003,IUK00001046,Normal,20-12-2024,Ok,187993,GBP,CHAPS,Processing,CY157264981
PAY-2023-001004,,Ghost Payment - Review,17-01-2024,Ok,450206,GBP,CHAPS,Returned,LP863582486
PAY-2024-001005,SI-0001030,Normal,13-04-2023,Ok,310361,GBP,BACS,Cleared,AG257809849
PAY-2024-001006,INV2023001097,Normal,18-03-2023,Ok,321211,GBP,faster payments,Returned,XR279105050
PAY-2023-001007,2024-BIF-1038,Normal,27-05-2025,Ok,444984,GBP,Wire Transfer,Cleared,MW130371030
PAY-2024-001008,P001051-2023,Normal,23-10-2024,Ok,159867,GBP,ACH,Cleared,QW264671391
PAY-2024-001009,INV2023001030,Normal,08-07-2024,Ok,243538,GBP,Chaps,Success,UX901705599
PAY-2024-001010,2024/15988,Normal,06-10-2023,Ok,75235,EUR,Wire Transfer,Cleared,CK280265377
PAY-2023-001011,,Ghost Payment - Review,08-08-2023,Ok,261086,EUR,SWIFT,Failed,YF941832220
PAY-2024-001012,SI-0001057,Normal,08-06-2023,Ok,471050,GBP,BACS,Cleared,PD135500627
PAY-2023-001013,2023/88881,Normal,31-03-2023,Ok,309523,GBP,EFT,Cleared,AM528025680
PAY-2024-001014,PHX00001032,Normal,09-06-2023,Ok,169334,EUR,Wire Transfer,Failed,HA689193060
PAY-2024-001015,2023/78770,Normal,null,Check status,249513,GBP,BACS,Pending,SJ528106039
PAY-2024-001016,INV2023001035,Normal,31-07-2023,Ok,262816,EUR,International Wire,Cleared,RB791438426
PAY-2023-001017,2024-SPE-1015,Normal,30-05-2024,Ok,142105,GBP,CHAPS,Cleared,Not Provided
PAY-2024-001018,IUK00001017,Normal,15-09-2024,Ok,341364,GBP,CHAPS,Cleared,GU955071120
PAY-2024-001019,2024-CIR-1029,Normal,13-12-2023,Ok,166506,USD,Wire Transfer,Pending,OP449253063
PAY-2024-001020,2023/78400,Normal,21-11-2024,Ok,71277,EUR,ACH,Cleared,IR256095915
PAY-2024-001021,ERL-2024-01046,Normal,31-08-2023,Ok,254234,GBP,BACS,Cleared,AP447940848
PAY-2023-001022,2023-MSL-1055,Normal,19-08-2024,Ok,478104,USD,Wire Transfer,Processing,DZ820677688
PAY-2024-001023,P001015-2023,Normal,11-08-2024,Ok,113235,GBP,CHAPS,Cleared,Not Provided
PAY-2024-001024,INV2023001020,Normal,25-06-2023,Ok,298496,USD,International Wire,Success,Not Provided
PAY-2023-001025,P001075-2024,Normal,19-05-2024,Ok,460360,USD,BACS,Processing,LX276913674
PAY-2024-001026,,Ghost Payment - Review,18-06-2023,Ok,39430,GBP,International Wire,Cleared,EL673548097
PAY-2024-001027,SI-0001098,Normal,25-09-2024,Ok,189438,GBP,Wire Transfer,Cleared,BQ479318354
PAY-2023-001028,2024/83592,Normal,21-10-2023,Ok,363017,USD,Wire Transfer,Failed,Not Provided
PAY-2024-001029,P001053-2023,Normal,15-10-2023,Ok,22277,GBP,BACS,Success,ZA657835104
PAY-2023-001030,2023-RCS-1030,Normal,21-10-2023,Ok,44211,GBP,ACH,Cleared,IT476535903
PAY-2024-001031,DAL00001110,Normal,04-03-2024,Ok,59857,GBP,EFT,Cleared,HM926642118
PAY-2023-001032,BIF00001013,Normal,19-01-2025,Ok,410802,GBP,faster payments,Cleared,KH910485442
PAY-2023-001033,2023-PLF-1086,Normal,15-08-2024,Ok,159907,GBP,CHAPS,Success,WZ767978233
PAY-2023-001034,SI-0001085,Normal,11-10-2023,Ok,23722,GBP,BACS,Processing,VF375541694
PAY-2024-001035,TML/2023/1080,Normal,05-08-2024,Ok,12250,GBP,EFT,Failed,XN677796467
PAY-2023-001036,2024-TTN-1039,Normal,02-05-2023,Ok,106043,GBP,International Wire,Pending,Not Provided
PAY-2024-001037,PHX00001035,Normal,22-05-2023,Ok,161466,EUR,SWIFT,Processing,BX121225220
PAY-2023-001038,P001106-2023,Normal,05-05-2024,Ok,127008,GBP,Cheque,Cleared,HR129829674
PAY-2023-001039,P001071-2023,Normal,22-01-2025,Ok,17197,USD,International Wire,Cleared,KT488778959
PAY-2023-001040,HAY/2023/1011,Normal,04-01-2025,Ok,420986,GBP,EFT,Returned,KY532101080
PAY-2023-001041,P001015-2023,Normal,08-10-2023,Ok,163207,USD,SWIFT,Processing,NW844811759
PAY-2023-001042,TML-2023-01039,Normal,03-08-2023,Ok,465819,GBP,Chaps,Cleared,Not Provided
PAY-2024-001043,DAL00001063,Normal,04-09-2023,Ok,39991,GBP,Chaps,Processing,EH162660659
PAY-2023-001044,SI-0001113,Normal,09-07-2024,Ok,236641,GBP,BACS,Success,WH179347489
PAY-2024-001045,2023-ERL-1120,Normal,19-12-2023,Ok,394137,GBP,CHAPS,Cleared,IP684395054
PAY-2023-001046,CIV00001049,Normal,31-05-2025,Ok,401382,GBP,CHAPS,Cleared,CD403825667
PAY-2023-001047,DAL00001087,Normal,null,Check status,276176,GBP,Chaps,Processing,RV157379445
PAY-2023-001048,,Ghost Payment - Review,08-07-2024,Ok,265152,USD,SWIFT,Cleared,CP808997893
PAY-2024-001049,INV2023001015,Normal,01-01-2025,Ok,344788,GBP,BACS,Failed,CG175237544
PAY-2024-001050,INV2024001084,Normal,25-03-2023,Ok,366920,USD,International Wire,Pending,GS604229074
PAY-2023-001051,KON00001130,Normal,05-10-2023,Ok,404634,EUR,Wire Transfer,Cleared,JD102272587
PAY-2024-001052,BSS-2024-01012,Normal,20-08-2023,Ok,1326830,GBP,Wire Transfer,Processing,YW105287220
PAY-2023-001053,2024/70155,Normal,13-11-2023,Ok,183286,USD,International Wire,Cleared,DR216915445
PAY-2024-001054,TML-2024-01129,Normal,06-05-2023,Ok,60309,GBP,Cheque,Success,RA910193595
