match_id,po_number,invoice_number,po_amount,invoice_amount,variance,Custom,currency,match_status,tolerance_flag
MTC-10001,4539496569,REN-2023-01004,351392,351202,-190,Within Tolerance,GBP,Tolerance Match,No
MTC-10002,4561573152,CMT00001006,404627,404988,361,Within Tolerance,USD,Tolerance Match,Yes
MTC-10003,4577178167,2024/53439,168437,963516,795079,Major Variance,GBP,Exception,No
MTC-10004,4551352278,TML00001011,103481,108698,5217,Significant Variance,GBP,Partial Match,No
MTC-10005,4545550848,P001015-2023,45751,113235,-158986,Within Tolerance,GBP,Unmatched,No
MTC-10006,4577178167,INV2023001015,168437,166797,-1640,Within Tolerance,GBP,Exception,No
MTC-10007,4512308244,MSL-2024-01015,334173,1674365,1340192,Major Variance,USD,Unmatched,No
MTC-10008,4581953019,2024-PLF-1028,457770,464137,6367,Significant Variance,GBP,Exception,No
MTC-10009,4543970581,P001032-2023,487122,479914,-7208,Within Tolerance,GBP,Partial Match,No
MTC-10010,4524565475,P001006-2023,484414,477201,-7213,Within Tolerance,GBP,Pending Review,No
MTC-10011,4523034714,P001009-2023,119192,119186,-6,Within Tolerance,GBP,Matched,No
MTC-10012,4515400671,P001004-2024,15740,15764,24,Within Tolerance,EUR,Matched,No
MTC-10013,4563816918,IUK00001017,334849,341364,6515,Significant Variance,GBP,Exception,No
MTC-10014,4598628262,INV2023001015,340146,344788,4642,Minor Variance,GBP,Partial Match,No
MTC-10015,4573772263,DAL-2024-01013,45518,39529,-5989,Within Tolerance,GBP,Partial Match,No
MTC-10016,4598236168,ENH-2023-01011,262596,259167,-3429,Within Tolerance,EUR,Exception,No
MTC-10017,4557822552,SI-0001013,400644,399838,-806,Within Tolerance,USD,Partial Match,Yes
MTC-10018,4510446073,2024/55280,448300,446600,-1700,Within Tolerance,GBP,Partial Match,No
MTC-10019,4541084002,CHX00001013,383281,378757,-4524,Within Tolerance,USD,Partial Match,No
MTC-10020,4511449694,PLF/2024/1046,450386,446664,-3722,Within Tolerance,GBP,Partial Match,No
MTC-10021,4523591749,APT/2024/1008,373440,372943,-497,Within Tolerance,USD,Matched,Yes
MTC-10022,4571755797,ULC/2024/1010,374763,382012,7249,Significant Variance,USD,Pending Review,No
MTC-10023,4515400671,SI-0001013,15740,8120,-7620,Within Tolerance,USD,Partial Match,No
MTC-10024,4527850612,SSE-2024-01012,337434,338769,1335,Minor Variance,GBP,Partial Match,Yes
MTC-10025,4531940315,2023-CIV-1002,406110,408292,2182,Minor Variance,GBP,Matched,No
MTC-10026,4566987415,2023/40485,122667,118548,-4119,Within Tolerance,GBP,Pending Review,No
MTC-10027,4578042382,MOG/2023/1009,313439,319980,6541,Significant Variance,EUR,Partial Match,No
MTC-10028,4533105548,2023-ULC-1017,211907,209815,-2092,Within Tolerance,USD,Partial Match,No
MTC-10029,4538474205,2023-KON-1006,143956,139512,-4444,Within Tolerance,EUR,2-Way Match,No
MTC-10030,4591226383,N4L00001002,88523,93514,4991,Minor Variance,GBP,Partial Match,No
MTC-10031,4578806340,2023-KON-1015,240602,220297,-20305,Within Tolerance,EUR,Unmatched,No
MTC-10032,4580118649,GWI-2023-01024,211686,216404,4718,Minor Variance,GBP,Partial Match,No
MTC-10033,4510446073,INV2024001054,448300,446182,-2118,Within Tolerance,GBP,Partial Match,No
MTC-10034,4588484525,BBH00001011,324722,331400,6678,Significant Variance,GBP,Partial Match,No
MTC-10035,4556037062,2024-SPE-1015,147137,142105,-5032,Within Tolerance,GBP,Partial Match,No
MTC-10036,4511907184,REN-2024-01011,111555,106911,-4644,Within Tolerance,GBP,Pending Review,No
MTC-10037,4515101477,PMS00001001,17563,17020,-543,Within Tolerance,EUR,3-Way Match,Yes
MTC-10038,4531940315,2023-CIV-1010,406110,410877,4767,Minor Variance,GBP,Partial Match,No
MTC-10039,4551352278,INV2024001022,103481,103001,-480,Within Tolerance,GBP,2-Way Match,Yes
MTC-10040,4578426503,P001028-2024,62204,291062,228858,Major Variance,EUR,Unmatched,No
MTC-10041,4596260793,2023-KNX-1003,55359,53380,-1979,Within Tolerance,GBP,Partial Match,No
MTC-10042,4511424393,TML-2023-01030,402487,398506,-3981,Within Tolerance,GBP,Exception,No
MTC-10043,4549547524,TTN/2023/1001,486608,208341,-278267,Within Tolerance,GBP,Unmatched,No
MTC-10044,4570244441,2023/50745,336044,331811,-4233,Within Tolerance,GBP,Partial Match,No
MTC-10045,4511966146,P001014-2024,466365,466103,-262,Within Tolerance,GBP,2-Way Match,Yes
MTC-10046,4595771152,CHX/2023/1017,423979,2945159,2521180,Major Variance,USD,Partial Match,No
MTC-10047,4592730859,ENH/2023/1016,263034,134318,-128716,Within Tolerance,EUR,Unmatched,No
MTC-10048,4575992324,2023-ASC-1012,411994,414691,2697,Minor Variance,GBP,Partial Match,No
MTC-10049,4552800125,PLF/2023/1057,150409,153149,2740,Minor Variance,GBP,Partial Match,No
MTC-10050,4549863203,P001001-2024,439004,431886,-7118,Within Tolerance,USD,Pending Review,No
MTC-10051,4586103838,ENH-2024-01027,498093,500800,2707,Minor Variance,EUR,Partial Match,No
MTC-10052,4593141359,SI-0001014,106713,99367,-7346,Within Tolerance,USD,Partial Match,No
MTC-10053,4531940315,CIV00001011,406110,399045,-7065,Within Tolerance,GBP,Pending Review,No
MTC-10054,4554863973,2023/44980,28945,33261,4316,Minor Variance,GBP,Exception,No
MTC-10055,4586177641,SI-0001025,119316,116477,-2839,Within Tolerance,GBP,Exception,No
MTC-10056,4588890772,INV2024001012,333746,327130,-6616,Within Tolerance,GBP,Partial Match,No
MTC-10057,4518175495,2024/94356,483567,490128,6561,Significant Variance,EUR,Partial Match,No
MTC-10058,4518907521,GWI/2024/1038,252594,252532,-62,Within Tolerance,GBP,Tolerance Match,No
MTC-10059,4551818673,P001012-2024,284506,280491,-4015,Within Tolerance,GBP,Partial Match,No
MTC-10060,4526960158,PFM-2023-01025,297221,304237,7016,Significant Variance,GBP,Partial Match,No
MTC-10061,4515101477,P001004-2023,17563,18144,581,Minor Variance,EUR,3-Way Match,Yes
MTC-10062,4594528547,SPE00001025,58347,51072,-7275,Within Tolerance,GBP,Partial Match,No
MTC-10063,4517053378,N4L/2023/1041,439883,444015,4132,Minor Variance,GBP,Exception,No
MTC-10064,4566824735,SI-0001052,363972,369954,5982,Significant Variance,GBP,Exception,No
MTC-10065,4583208610,INV2023001028,104281,98088,-6193,Within Tolerance,USD,Partial Match,No
MTC-10066,4549702930,CIV-2024-01013,78775,73906,-4869,Within Tolerance,GBP,Exception,No
MTC-10067,4537068753,2024/33963,342836,342212,-624,Within Tolerance,GBP,2-Way Match,Yes
MTC-10068,4595219410,HAY/2023/1001,102327,107621,5294,Significant Variance,GBP,Partial Match,No
MTC-10069,4564993950,FGD-2023-01006,120439,125612,5173,Significant Variance,GBP,Pending Review,No
MTC-10070,4541213224,2024/33913,312063,314360,2297,Minor Variance,EUR,Partial Match,No
MTC-10071,4541697369,CMT-2023-01009,236325,239153,2828,Minor Variance,USD,Unmatched,No
MTC-10072,4566566316,2023-RCS-1030,47065,44211,-2854,Within Tolerance,GBP,Pending Review,No
