po_number,vendor_id,department,site_location,po_date,po_amount,approval_status,cost_centre,currency
4578806340,1000031867,Smart Infrastructure,Birmingham,12-11-2023,240602,Approved,CC-9117-UK,EUR
4555248603,1000021602,Quality Assurance,Houston TX,20-08-2023,231368,Pending,CC-4377-US,EUR
4567273771,1000056979,Digital Industries,Houston TX,07-06-2023,312612,Approved,CC-3510-UK,GBP
4550520033,1000011404,Quality Assurance,Birmingham,10-03-2023,42591,Approved,CC-8450-UK,GBP
4564942244,1000023599,IT Operations,Coventry,18-09-2023,373996,Approved,CC-9666-DE,GBP
4523034714,1000087316,Automation,London - Farnborough,26-03-2024,119192,Approved,CC-6191-DE,GBP
4548933194,1000087316,Smart Infrastructure,Glasgow,08-12-2024,192832,Awaiting Approval,CC-8797-UK,GBP
4556055382,1000081143,Technical Services,Manchester,06-08-2024,202872,Approved,CC-3631-DE,GBP
4539496569,1000043125,IT Operations,Reading,04-02-2023,351392,Approved,CC-1695-UK,GBP
4581317004,2000025351,Healthcare,Coventry,04-06-2024,480454,Approved,CC-6607-DE,USD
4563802338,2000067442,Procurement,Chicago IL,24-01-2023,364016,Pending,CC-1893-UK,USD
4522493209,2000093507,Finance,Glasgow,27-07-2023,148180,Approved,CC-6787-DE,USD
4518378797,1000024940,IT Operations,Birmingham,09-03-2024,216369,Rejected,CC-7923-UK,GBP
4598236168,1000060552,Quality Assurance,Reading,28-04-2024,262596,Approved,CC-1271-UK,EUR
4586438542,1000029627,Finance,London - Farnborough,09-01-2024,54056,On Hold,CC-2812-US,GBP
4525275091,1000052510,Automation,Coventry,24-05-2024,371779,Approved,CC-1735-US,GBP
4513504964,1000031235,Finance,Coventry,04-04-2023,129462,Approved,CC-6194-UK,GBP
4514498117,2000033106,Procurement,Birmingham,25-06-2023,74777,Approved,CC-6727-UK,USD
4590899769,1000087316,Smart Infrastructure,Coventry,07-02-2023,198011,Approved,CC-4799-DE,GBP
4560212545,1000048518,Healthcare,Bristol,17-03-2023,482190,Approved,CC-9983-US,GBP
4575464991,1000024940,IT Operations,Detroit MI,03-11-2023,336490,Approved,CC-8845-DE,GBP
4529970454,2000033981,Smart Infrastructure,Reading,25-01-2024,351660,Approved,CC-8724-US,USD
4558751739,1000095845,HR & Admin,Reading,13-02-2024,282272,Pending,CC-3907-US,GBP
4551196581,2000071726,Technical Services,Birmingham,11-08-2024,126159,Approved,CC-1376-UK,USD
4548566094,1000022345,IT Operations,Leeds,31-08-2024,229318,Approved,CC-3109-UK,GBP
4554763235,1000099061,Finance,Coventry,02-02-2024,329938,Pending,CC-7565-UK,GBP
4588890772,1000069628,Smart Infrastructure,Chicago IL,04-10-2024,333746,Pending,CC-5232-DE,GBP
4576658519,2000051280,IT Operations,London - Farnborough,26-02-2023,222093,Pending,CC-1619-UK,USD
4547670428,1000023599,Energy Management,London - Farnborough,03-03-2024,223921,Pending,CC-7310-DE,GBP
4553029742,2000025351,R&D,Manchester,22-03-2024,399456,Approved,CC-5834-DE,USD
4577321193,2000033981,Digital Industries,Atlanta GA,29-11-2023,494135,Approved,CC-9058-US,USD
4582159808,1000096466,Finance,Reading,02-02-2024,470903,Pending,CC-3007-UK,GBP
4566987415,1000056979,R&D,Coventry,24-11-2024,122667,On Hold,CC-5849-DE,GBP
4552915831,1000048518,R&D,Glasgow,19-08-2023,19252,Approved,CC-3774-DE,GBP
4591226383,1000029627,Healthcare,Birmingham,28-07-2024,88523,Rejected,CC-4159-DE,GBP
4557822552,2000083288,Technical Services,London - Farnborough,14-11-2024,400644,Pending,CC-1158-US,USD
4513182792,1000023599,Smart Infrastructure,Manchester,25-04-2023,252498,Rejected,CC-3769-UK,GBP
4544666429,1000081143,Finance,Reading,11-09-2024,435666,Pending,CC-2303-DE,GBP
4589710708,2000083288,Quality Assurance,Manchester,31-03-2023,346467,Approved,CC-1832-DE,USD
4594970749,1000031867,Digital Industries,Manchester,26-03-2023,403275,Awaiting Approval,CC-5432-US,EUR
4582903416,1000023599,IT Operations,Coventry,15-09-2023,393178,On Hold,CC-2256-DE,GBP
4545603480,1000097776,HR & Admin,Chicago IL,31-03-2023,491371,Pending,CC-3730-US,GBP
4557312063,1000060552,Energy Management,Reading,01-09-2024,199380,Approved,CC-7562-US,EUR
4511424393,1000096466,Quality Assurance,London - Farnborough,17-10-2023,402487,Rejected,CC-2977-DE,GBP
4526708600,2000043692,R&D,Birmingham,28-01-2023,464641,Approved,CC-6002-US,USD
4590726615,1000060552,R&D,Atlanta GA,05-10-2024,255882,Pending,CC-5403-US,EUR
4549456805,1000033983,Finance,Detroit MI,19-08-2023,437843,Pending,CC-8450-UK,GBP
4553410271,1000085102,Automation,Birmingham,01-11-2024,312170,Rejected,CC-1188-DE,GBP
4590141088,1000087316,Finance,Coventry,26-02-2023,407955,Approved,CC-2137-UK,GBP
4539555133,1000034878,Energy Management,London - Farnborough,17-11-2023,415576,On Hold,CC-6303-US,GBP
4544935319,1000096033,IT Operations,Chicago IL,22-03-2024,357023,Pending,CC-5272-DE,GBP
4511907184,1000043125,Energy Management,Birmingham,25-11-2023,111555,Approved,CC-7170-US,GBP
4510154129,1000011404,Healthcare,Detroit MI,18-10-2024,373634,Pending,CC-9483-US,GBP
4578042382,2000051280,R&D,Coventry,06-02-2024,313439,Rejected,CC-7251-DE,USD
4558151831,2000083288,Digital Industries,Glasgow,22-03-2024,309892,Approved,CC-4673-US,USD
4554863973,1000029627,Procurement,Atlanta GA,27-07-2024,28945,Approved,CC-8576-UK,GBP
4541084002,2000043692,Procurement,Glasgow,30-06-2023,383281,Approved,CC-7597-UK,USD
4596260793,1000011404,Smart Infrastructure,Detroit MI,04-05-2023,55359,Approved,CC-6733-US,GBP
4520984012,1000085102,R&D,Chicago IL,09-07-2024,75064,Approved,CC-3939-DE,GBP
4571981903,1000096466,IT Operations,Glasgow,17-06-2023,455866,Approved,CC-7061-UK,GBP
4549547524,2000025351,HR & Admin,Bristol,31-10-2023,486608,Approved,CC-2793-US,USD
4543536066,1000033983,R&D,London - Farnborough,16-11-2024,55238,Rejected,CC-9071-US,GBP
4523786846,1000023599,Digital Industries,Houston TX,30-03-2024,442866,Rejected,CC-5712-UK,GBP
4523687929,2000051280,Energy Management,Birmingham,02-09-2025,489961,Approved,CC-4360-UK,USD
4513812138,1000085102,Finance,Manchester,26-11-2024,423481,Pending,CC-8241-US,GBP
4596573755,1000036252,Technical Services,Leeds,06-02-2023,104016,Pending,CC-5901-UK,GBP
4550758621,1000031867,Smart Infrastructure,Houston TX,20-02-2023,313015,Pending,CC-7993-US,EUR
4564128227,1000053134,Digital Industries,Detroit MI,27-05-2023,388603,Pending,CC-5296-US,GBP
4583208610,2000025351,Procurement,Reading,11-02-2023,104281,Approved,CC-2221-UK,USD
4575633252,1000011404,HR & Admin,Reading,23-01-2023,190100,Pending,CC-5443-DE,GBP
4523591749,2000071726,R&D,Atlanta GA,17-02-2023,373440,Pending,CC-3044-DE,USD
4573537141,1000060552,HR & Admin,Birmingham,12-06-2023,81833,Approved,CC-5120-UK,EUR
4547637124,2000093507,IT Operations,Detroit MI,17-08-2023,448177,Pending,CC-8967-DE,USD
4596797129,1000011404,Procurement,Detroit MI,21-06-2024,141829,Approved,CC-4159-UK,GBP
4570139521,1000056920,HR & Admin,Houston TX,26-11-2024,185546,Pending,CC-8882-US,GBP
4537068753,1000082868,HR & Admin,Coventry,02-03-2024,342836,Awaiting Approval,CC-9583-US,GBP
4549702930,1000096033,Finance,Coventry,02-08-2024,78775,Approved,CC-7037-UK,GBP
4514924325,1000031235,Technical Services,Detroit MI,23-08-2023,145967,Pending,CC-1618-DE,GBP
4527988233,1000096466,Quality Assurance,London - Farnborough,14-04-2024,19783,Approved,CC-3123-US,GBP
4572721657,1000023599,Healthcare,Atlanta GA,19-03-2024,374610,Pending,CC-9943-US,GBP
4587910819,1000096466,Procurement,London - Farnborough,12-02-2023,67962,Approved,CC-9824-DE,GBP
4541697369,2000093507,Quality Assurance,Birmingham,30-07-2024,236325,Approved,CC-3119-DE,USD
4527748612,1000013105,HR & Admin,Chicago IL,25-11-2024,243815,Approved,CC-2427-US,EUR
4574162696,1000062828,R&D,Chicago IL,21-03-2024,224254,Approved,CC-7811-DE,GBP
4551352278,1000096466,R&D,Coventry,20-10-2024,103481,Approved,CC-9881-US,GBP
4586213372,1000095845,Technical Services,Chicago IL,21-07-2024,145370,Approved,CC-1698-US,GBP
4529114390,1000031235,Digital Industries,Reading,07-06-2024,203686,Approved,CC-8935-US,GBP
4588755284,1000096466,Automation,Reading,28-05-2024,144490,Approved,CC-8104-US,GBP
4592869300,1000023599,Smart Infrastructure,Birmingham,13-10-2024,184015,Approved,CC-4113-DE,GBP
4566879498,1000087316,Smart Infrastructure,Birmingham,28-01-2023,94583,On Hold,CC-6535-DE,GBP
4593141359,2000033981,Automation,Atlanta GA,19-12-2024,106713,Pending,CC-3912-DE,USD
4514113681,1000043125,HR & Admin,Chicago IL,01-01-2023,87907,Pending,CC-9348-US,GBP
4559305311,1000060552,R&D,Houston TX,27-06-2023,260566,Pending,CC-1650-UK,EUR
4592425970,2000040186,IT Operations,Bristol,06-02-2024,429584,Approved,CC-8141-UK,USD
4529690012,1000069628,R&D,Manchester,12-12-2024,80103,Approved,CC-8084-DE,GBP
4527715082,2000033981,Digital Industries,Manchester,21-06-2023,363080,Pending,CC-9570-DE,USD
4517078676,1000082868,HR & Admin,Chicago IL,03-03-2025,52053,Approved,CC-2870-UK,GBP
4545550848,1000035815,Digital Industries,Houston TX,25-10-2024,45751,Approved,CC-2423-US,GBP
4556037062,1000082868,HR & Admin,Houston TX,18-01-2024,147137,Approved,CC-3574-US,GBP
4568050002,1000013105,Quality Assurance,Bristol,16-01-2024,263916,Approved,CC-4186-DE,EUR
4575649423,1000068330,Smart Infrastructure,Leeds,19-04-2025,468654,Awaiting Approval,CC-5949-US,GBP
4517053378,1000029627,Smart Infrastructure,Manchester,26-06-2023,439883,Rejected,CC-6324-UK,GBP
4593556042,2000043692,IT Operations,Reading,16-02-2025,76555,Pending,CC-5946-US,USD
4593078124,1000068330,Automation,London - Farnborough,30-10-2023,447180,Pending,CC-7896-DE,GBP
4545923997,2000040186,Finance,Chicago IL,21-04-2024,460017,Approved,CC-3458-DE,USD
4517373203,2000025351,Smart Infrastructure,Detroit MI,27-01-2024,52230,Approved,CC-1210-US,USD
4595511809,1000096033,Technical Services,Houston TX,30-04-2023,239037,Approved,CC-8109-DE,GBP
4515101477,1000021602,Smart Infrastructure,Manchester,03-04-2025,17563,Pending,CC-1094-US,EUR
4535093469,2000025351,Procurement,Coventry,07-12-2023,423858,Approved,CC-8167-US,USD
4551818673,1000022345,Energy Management,London - Farnborough,15-12-2024,284506,Rejected,CC-7129-DE,GBP
4514556276,1000096033,Quality Assurance,Leeds,12-07-2024,438636,Rejected,CC-2224-DE,GBP
4586398574,1000048518,R&D,Houston TX,02-10-2023,240328,Approved,CC-9564-DE,GBP
4561720130,1000064520,Technical Services,Birmingham,12-01-2024,8987,Pending,CC-1002-DE,GBP
4575992324,1000095845,Healthcare,Houston TX,07-09-2024,411994,Pending,CC-7864-UK,GBP
4586899423,1000099061,HR & Admin,Houston TX,12-07-2024,214769,Approved,CC-7703-UK,GBP
4529558852,1000035815,HR & Admin,Manchester,05-04-2025,180478,Approved,CC-9501-US,GBP
4531112159,1000056979,Energy Management,Coventry,04-05-2025,440739,Approved,CC-8285-UK,GBP
4560736703,1000064520,IT Operations,Bristol,13-03-2024,480802,Approved,CC-9831-UK,GBP
4593507699,2000051280,Healthcare,Leeds,03-01-2024,89000,Approved,CC-4076-UK,USD
4538516658,2000093507,Energy Management,Leeds,17-10-2024,133785,Approved,CC-6512-US,USD
4563816918,1000087316,IT Operations,Leeds,31-05-2024,334849,Rejected,CC-6656-UK,GBP
4595219410,1000085102,IT Operations,Leeds,26-09-2023,102327,Approved,CC-9750-UK,GBP
4533105548,2000067442,Digital Industries,London - Farnborough,20-04-2024,211907,Rejected,CC-9853-DE,USD
4555454582,1000023599,Quality Assurance,Chicago IL,10-10-2024,67810,Approved,CC-7910-US,GBP
4575055325,1000082850,Not Specified,Bristol,26-12-2024,474265,Approved,CC-4011-UK,GBP
4546200009,1000035815,Finance,Birmingham,27-05-2024,196548,Pending,CC-7173-US,GBP
4534888404,1000078188,Smart Infrastructure,Chicago IL,12-10-2023,53253,Awaiting Approval,CC-3253-US,EUR
4531940315,1000096033,Automation,Bristol,20-11-2024,406110,Approved,CC-1550-US,GBP
4592477969,1000064520,Technical Services,Chicago IL,12-01-2024,141490,Pending,CC-6302-US,GBP
4550236484,1000048518,Quality Assurance,Glasgow,02-01-2023,395548,Approved,CC-3422-DE,GBP
4563189624,1000082850,Smart Infrastructure,Reading,13-10-2024,60243,Approved,CC-7470-DE,GBP
4577178167,1000053134,HR & Admin,Detroit MI,13-02-2025,168437,Awaiting Approval,CC-9985-DE,GBP
4561573152,2000093507,Automation,Birmingham,09-09-2024,404627,Approved,CC-9039-UK,USD
4569880196,1000011404,Finance,Atlanta GA,18-05-2024,411956,Rejected,CC-7435-US,GBP
4573775964,1000014278,Not Specified,Bristol,04-01-2023,228970,Approved,CC-3124-UK,GBP
4519746781,1000087316,Smart Infrastructure,Glasgow,01-03-2024,298806,Approved,CC-4873-UK,GBP
4543970581,1000035815,Smart Infrastructure,Reading,12-09-2023,487122,Rejected,CC-8527-UK,GBP
4573224131,1000014278,Quality Assurance,Bristol,27-12-2023,397815,Approved,CC-9816-US,GBP
4563396966,1000082850,Healthcare,Manchester,09-04-2024,270476,Approved,CC-7978-DE,GBP
4526998801,1000069628,HR & Admin,Glasgow,02-01-2024,430944,Pending,CC-1169-DE,GBP
4569989388,1000053134,Energy Management,Chicago IL,09-04-2024,297565,Approved,CC-6469-US,GBP
4578022221,1000060552,IT Operations,Bristol,25-12-2024,14089,Approved,CC-1470-US,EUR
4596723540,1000053134,Quality Assurance,Leeds,13-03-2025,272188,Approved,CC-2399-US,GBP
4555540487,1000033983,Finance,Glasgow,13-04-2023,308926,Pending,CC-6038-US,GBP
4587289008,1000035815,Digital Industries,Birmingham,14-07-2023,385011,Pending,CC-9398-DE,GBP
4598628262,1000014278,IT Operations,Bristol,20-11-2024,340146,Approved,CC-5239-US,GBP
4586177641,1000064520,Smart Infrastructure,Reading,30-12-2023,119316,Pending,CC-1513-UK,GBP
4550570766,1000052510,Energy Management,Coventry,15-03-2024,471831,Approved,CC-8022-DE,GBP
4590642050,1000033983,HR & Admin,Glasgow,05-11-2024,413353,Approved,CC-3682-DE,GBP
4536205501,1000022345,Procurement,Leeds,11-09-2023,215354,Approved,CC-3866-US,GBP
4546278455,1000056492,Automation,Bristol,17-11-2024,49752,Rejected,CC-3627-DE,GBP
4552800125,1000035815,IT Operations,Birmingham,26-11-2023,150409,Pending,CC-9369-US,GBP
4549360727,1000043125,Procurement,Glasgow,01-11-2024,83517,Rejected,CC-8003-DE,GBP
4548096662,1000013105,Smart Infrastructure,Chicago IL,02-02-2023,225007,Approved,CC-8506-DE,EUR
4586826109,1000011404,Healthcare,Houston TX,17-02-2023,315620,Approved,CC-5297-DE,GBP
4583041304,1000021602,Procurement,Coventry,27-12-2024,413049,Pending,CC-5808-US,EUR
4576783205,1000022345,HR & Admin,Reading,04-07-2024,77242,Approved,CC-6873-US,GBP
4584108985,2000040186,Technical Services,London - Farnborough,07-08-2023,163748,Pending,CC-8514-US,USD
4566024494,1000096466,IT Operations,Detroit MI,02-01-2023,412647,Rejected,CC-2349-UK,GBP
4516086952,1000043125,Energy Management,Chicago IL,19-11-2023,8711,Pending,CC-1301-DE,GBP
4518370808,1000022345,Automation,Atlanta GA,22-08-2023,66176,Approved,CC-5416-UK,GBP
4550533802,1000053134,R&D,Chicago IL,29-12-2024,433813,Approved,CC-2378-UK,GBP
4525336431,2000067442,Procurement,Reading,11-12-2023,202922,Approved,CC-2982-US,USD
4580514951,1000031235,Procurement,Coventry,31-07-2023,479164,Pending,CC-5805-US,GBP
4549387711,1000074246,R&D,Chicago IL,25-05-2023,262933,Pending,CC-7315-US,GBP
4549779020,1000082850,Finance,London - Farnborough,20-06-2024,326050,Approved,CC-9931-US,GBP
4542527417,1000099061,IT Operations,Manchester,03-03-2024,296408,Pending,CC-6051-DE,GBP
4558937264,2000071726,Not Specified,Bristol,15-07-2024,62022,Pending,CC-6452-UK,USD
4597550274,1000056979,Healthcare,Atlanta GA,28-02-2023,414888,On Hold,CC-8158-UK,GBP
4553410652,1000056979,Smart Infrastructure,Glasgow,29-06-2023,224575,Approved,CC-3983-US,GBP
4571755797,2000067442,Automation,Manchester,01-07-2023,374763,Approved,CC-9169-DE,USD
4549863203,2000040186,R&D,Leeds,30-09-2023,439004,Rejected,CC-4626-UK,USD
4578426503,1000031235,R&D,Reading,02-02-2024,62204,Awaiting Approval,CC-5305-UK,GBP
4562271773,2000033981,Smart Infrastructure,Leeds,11-03-2024,338757,Pending,CC-8155-US,USD
4548521334,1000014278,Smart Infrastructure,Detroit MI,15-01-2023,459071,On Hold,CC-9734-UK,GBP
4568910774,1000097776,IT Operations,Bristol,02-11-2024,307323,Approved,CC-9366-UK,GBP
4519079619,1000062828,Digital Industries,London - Farnborough,10-10-2023,427817,Approved,CC-5399-US,GBP
4590565726,1000022345,Technical Services,Reading,28-06-2024,471358,Approved,CC-9917-UK,GBP
4586103838,1000060552,Automation,Glasgow,02-01-2024,498093,Rejected,CC-9819-US,EUR
4597449560,1000021602,Smart Infrastructure,Coventry,16-11-2023,303987,Pending,CC-3624-DE,EUR
4518907521,1000053134,Healthcare,Houston TX,27-08-2023,252594,Rejected,CC-7947-US,GBP
4566824735,1000053134,Technical Services,London - Farnborough,21-04-2024,363972,Approved,CC-1050-US,GBP
4519088643,1000078188,Healthcare,Reading,06-08-2024,212395,Pending,CC-6664-US,EUR
4557345385,2000051280,IT Operations,Atlanta GA,28-01-2024,81784,Pending,CC-1253-DE,USD
4535999790,1000062828,Finance,Glasgow,31-03-2023,185525,Approved,CC-1683-UK,GBP
4580757126,1000074246,R&D,Leeds,18-07-2024,127288,Approved,CC-1134-DE,GBP
4593547481,1000033983,Automation,Leeds,30-05-2024,492559,Pending,CC-9184-US,GBP
4573011095,1000031867,Technical Services,Coventry,04-09-2023,57224,Pending,CC-3819-US,EUR
4591296243,1000096033,Energy Management,Bristol,23-08-2024,331584,Approved,CC-7062-US,GBP
4564993950,1000056920,Automation,Houston TX,07-01-2024,120439,Approved,CC-4567-DE,GBP
4510676626,1000029627,Quality Assurance,Detroit MI,20-02-2024,304463,Approved,CC-8645-UK,GBP
4586047309,1000060552,Finance,Birmingham,05-11-2024,134830,Pending,CC-2348-DE,EUR
4537774661,1000064520,Smart Infrastructure,Reading,10-08-2024,342562,Pending,CC-2998-DE,GBP
4595557365,1000096466,Quality Assurance,Bristol,22-03-2024,72057,Pending,CC-4301-DE,GBP
4579130404,1000069628,IT Operations,Leeds,23-09-2023,127069,Rejected,CC-8920-UK,GBP
4511966146,1000029627,Finance,Chicago IL,13-02-2024,466365,Approved,CC-6120-US,GBP
4596978045,1000064520,Quality Assurance,Coventry,31-03-2024,9772,Approved,CC-4505-DE,GBP
4584781739,1000033983,Automation,London - Farnborough,10-11-2023,464864,Approved,CC-4692-UK,GBP
4580118649,1000053134,Not Specified,Houston TX,13-04-2023,211686,Approved,CC-4615-UK,GBP
4592730859,1000036252,Automation,Leeds,01-10-2023,263034,Pending,CC-7654-UK,GBP
4560612668,1000087316,R&D,Birmingham,08-03-2023,183247,Rejected,CC-9211-UK,GBP
4585624834,1000095845,Technical Services,London - Farnborough,31-01-2024,445706,Approved,CC-9949-UK,GBP
4532255983,1000087316,Technical Services,Reading,09-07-2023,65177,Approved,CC-8680-US,GBP
4572000995,1000056979,Quality Assurance,Atlanta GA,03-03-2024,243146,Approved,CC-7827-UK,GBP
4513933277,1000022345,Technical Services,Birmingham,17-04-2023,9119,Awaiting Approval,CC-7865-US,GBP
4526960158,1000014278,Finance,Houston TX,05-10-2024,297221,Pending,CC-7865-US,GBP
4576509626,1000035815,Healthcare,Manchester,03-01-2023,237485,Approved,CC-7622-DE,GBP
4512308244,2000025351,Smart Infrastructure,Coventry,09-07-2023,334173,Approved,CC-9312-US,USD
4533024059,1000033983,Smart Infrastructure,Glasgow,04-03-2024,242827,Approved,CC-6281-UK,GBP
4590164644,1000085764,Quality Assurance,Chicago IL,09-04-2025,208950,Approved,CC-8674-US,GBP
4514641915,2000033981,HR & Admin,Birmingham,03-04-2024,95903,Approved,CC-4777-UK,USD
4597735770,1000064520,Healthcare,Coventry,08-11-2023,273940,Pending,CC-1038-DE,GBP
4540357142,1000064520,Energy Management,Birmingham,15-06-2024,325314,Approved,CC-7859-UK,GBP
4575216623,1000099061,R&D,Chicago IL,28-08-2023,322747,Pending,CC-5155-DE,GBP
4524565475,1000031235,Technical Services,London - Farnborough,05-03-2023,484414,Approved,CC-3326-DE,GBP
4527566835,1000031235,IT Operations,Chicago IL,25-10-2023,447817,Approved,CC-3119-UK,GBP
4585038888,1000095845,Healthcare,Bristol,16-03-2024,116287,Approved,CC-2390-US,GBP
4543275191,1000056920,Automation,London - Farnborough,05-11-2024,285543,Pending,CC-6003-UK,GBP
4595078105,1000048518,Healthcare,Manchester,19-02-2023,332271,Approved,CC-1551-US,GBP
4586025947,1000048518,Quality Assurance,Leeds,01-04-2025,9113,Rejected,CC-4683-US,GBP
4591751689,1000029627,Technical Services,Chicago IL,06-12-2024,478658,Pending,CC-1406-US,GBP
4570244441,1000099061,Healthcare,Houston TX,29-02-2024,336044,Pending,CC-5716-US,GBP
4518989329,1000068330,Technical Services,Glasgow,18-05-2025,250592,Rejected,CC-9164-UK,GBP
4556753920,1000013105,Energy Management,London - Farnborough,27-09-2024,172693,Approved,CC-2963-US,EUR
4530790855,1000064520,Healthcare,Atlanta GA,30-10-2023,257220,Approved,CC-2545-DE,GBP
4550549460,1000013105,Technical Services,Reading,17-12-2024,402561,Pending,CC-3415-US,EUR
4594528547,1000082868,Healthcare,Glasgow,27-05-2023,58347,Approved,CC-2699-DE,GBP
4590443585,1000085764,Healthcare,Bristol,02-01-2023,104432,Awaiting Approval,CC-8771-US,GBP
4564367814,1000011404,Procurement,Bristol,27-10-2024,488968,Approved,CC-4547-US,GBP
4516925857,1000022345,R&D,London - Farnborough,30-07-2024,248772,Rejected,CC-2928-US,GBP
4588715924,1000024940,Automation,Bristol,28-08-2024,304990,Approved,CC-7986-US,GBP
4549242232,1000066816,Healthcare,Glasgow,13-09-2024,418236,Pending,CC-5900-US,GBP
4518175495,1000060552,HR & Admin,London - Farnborough,10-06-2024,483567,Approved,CC-5691-US,EUR
4513895257,1000099061,Automation,Chicago IL,04-10-2024,41995,Approved,CC-7234-US,GBP
4575455497,1000035815,Finance,Bristol,26-07-2024,179535,Pending,CC-9311-UK,GBP
